1.55	0	2.9698484809834995	0	1.7146428199482244	0	0	0	0	0	0	0	0	0	0	0
0	6.75	0	8.573214099741122	0	3.8340579025361627	0	0	0	0	0	0	0	0	0	0
2.9698484809834995	0	16.15	0	16.974097914174997	0	6.640783086353597	0	0	0	0	0	0	0	0	0
0	8.573214099741122	0	29.75	0	28.17445651649735	0	10.143963722332607	0	0	0	0	0	0	0	0
1.7146428199482244	0	16.974097914174997	0	47.55	0	42.17463692789779	0	14.345731072343439	0	0	0	0	0	0	0
0	3.8340579025361627	0	28.17445651649735	0	69.55	0	58.97474035551153	0	19.24681791881453	0	0	0	0	0	0
0	0	6.640783086353597	0	42.17463692789779	0	95.75	0	78.57480512225277	0	24.847535089018386	0	0	0	0	0
0	0	0	10.143963722332607	0	58.97474035551153	0	126.15	0	100.974848353439	0	31.148033645801785	0	0	0	0
0	0	0	0	14.345731072343439	0	78.57480512225277	0	160.75	0	126.17487864071833	0	38.14839446162839	0	0	0
0	0	0	0	0	19.24681791881453	0	100.974848353439	0	199.55	0	154.1749006810123	0	45.84866410267588	0	0
0	0	0	0	0	0	24.847535089018386	0	126.17487864071833	0	242.55	0	184.97491721852452	0	54.248870955993176	0
0	0	0	0	0	0	0	31.148033645801785	0	154.1749006810123	0	289.75	0	218.57492994394394	0	63.3490331417931
0	0	0	0	0	0	0	0	38.14839446162839	0	184.97491721852452	0	341.15	0	254.97493994508557	0
0	0	0	0	0	0	0	0	0	45.84866410267588	0	218.57492994394394	0	396.75	0	213.02323816898476
0	0	0	0	0	0	0	0	0	0	54.248870955993176	0	254.97493994508557	0	372.55	0
0	0	0	0	0	0	0	0	0	0	0	63.3490331417931	0	213.02323816898476	0	159.75
